name,birthday,nationality
Natalie Portman,1981-06-09,USA
Will Smith,1968-09-25,USA
Mariana Ximenes,1981-09-26,BRAZIL
Wagner Moura,1976-06-27,BRAZIL
Jennifer Lawrence,1990-08-15,USA
Bruna Marquezine,1995-08-04,BRAZIL
Denzel Washington,1954-12-28,USA
Alice Braga,1983-04-15,BRAZIL
Ryan Reynolds,1976-10-23,USA
Sônia Braga,1950-06-08,BRAZIL
Chris Evans,1981-06-13,USA
Letícia Sabatella,1971-11-08,BRAZIL
Emma Stone,1988-11-06,USA
Rodrigo Santoro,1975-08-22,BRAZIL
Tom Hanks,1956-07-09,USA
Isis Valverde,1987-02-17,BRAZIL
Meryl Streep,1949-06-22,USA
Lúcio Mauro Filho,1974-03-14,BRAZIL